modifiedAt,ID,name,city,country_code
2026-09-15T02:02:17.774Z,FRA,Frankfurt Airport,Frankfurt/Main,DE
2026-09-15T02:02:17.774Z,HAM,Hamburg Airport,Hamburg,DE
2026-09-15T02:02:17.774Z,MUC,Munich Airport,Munich,DE
2026-09-15T02:02:17.774Z,SXF,Berlin Schönefeld Airport,Berlin,DE
2026-09-15T02:02:17.774Z,THF,Berlin Tempelhof Airport,Berlin,DE
2026-09-15T02:02:17.774Z,TXL,Berlin Tegel Airport,Berlin,DE
2026-09-15T02:02:17.774Z,CDG,Charles de Gaulle Airport,Paris,FR
2026-09-15T02:02:17.774Z,ORY,Orly Airport,Paris,FR
2026-09-15T02:02:17.774Z,VIE,Vienna International Airport,Vienna,AT
2026-09-15T02:02:17.774Z,ZRH,Zürich Airport,Zurich,CH
2026-09-15T02:02:17.774Z,RTM,Rotterdam The Hague Airport,Rotterdam,NL
2026-09-15T02:02:17.774Z,FCO,Leonardo da Vinci–Fiumicino Airport,Rome,IT
2026-09-15T02:02:17.774Z,VCE,Venice Marco Polo Airport,Venice,IT
2026-09-15T02:02:17.774Z,LCY,London City Airport,London,GB
2026-09-15T02:02:17.774Z,LGW,Gatwick Airport,London,GB
2026-09-15T02:02:17.774Z,LHR,Heathrow Airport,London,GB
2026-09-15T02:02:17.774Z,MAD,Adolfo Suárez Madrid–Barajas Airport,Madrid,ES
2026-09-15T02:02:17.774Z,VKO,Vnukovo International Airport,Moscow,RU
2026-09-15T02:02:17.774Z,SVO,Sheremetyevo International Airport,Moscow,RU
2026-09-15T02:02:17.774Z,JFK,John F. Kennedy International Airport,"New York City,New York",US
2026-09-15T02:02:17.774Z,BNA,Nashville International Airport,"Nashville,Tennessee",US
2026-09-15T02:02:17.774Z,BOS,Logan International Airport,"Boston,Massachusetts",US
2026-09-15T02:02:17.774Z,ELP,El Paso International Airport,"El Paso,Texas",US
2026-09-15T02:02:17.774Z,DEN,Denver International Airport,"Denver,Colorado",US
2026-09-15T02:02:17.774Z,HOU,William P. Hobby Airport,"Houston,Texas",US
2026-09-15T02:02:17.774Z,LAS,McCarran International Airport,"Las Vegas,Nevada",US
2026-09-15T02:02:17.774Z,LAX,Los Angeles International Airport,"Los Angeles,California",US
2026-09-15T02:02:17.774Z,MCI,Kansas City International Airport,"Kansas City,Missouri",US
2026-09-15T02:02:17.774Z,MIA,Miami International Airport,"Miami,Florida",US
2026-09-15T02:02:17.774Z,SFO,San Francisco International Airport,"San Francisco,California",US
2026-09-15T02:02:17.774Z,EWR,Newark Liberty International Airport,"Newark,New Jersey",US
2026-09-15T02:02:17.774Z,YOW,Ottawa Macdonald–Cartier Int. Airport,"Ottawa,Ontario",CA
2026-09-15T02:02:17.774Z,ACA,General Juan N. Álvarez Int. Airport,"Acapulco,Guerrero",MX
2026-09-15T02:02:17.774Z,GIG,Rio de Janeiro–Galeão Int. Airport,Rio de Janeiro,BR
2026-09-15T02:02:17.774Z,HAV,José Martí International Airport,Havana,CU
2026-09-15T02:02:17.774Z,ASP,Alice Springs Airport,"Alice Springs,Northern Territory",AU
2026-09-15T02:02:17.774Z,ACE,Lanzarote Airport,"Lanzarote,Canary Islands",ES
2026-09-15T02:02:17.774Z,HRE,Harare International Airport,Harare,ZW
2026-09-15T02:02:17.774Z,GCJ,Grand Central Airport,Johannesburg,ZA
2026-09-15T02:02:17.774Z,NRT,Narita International Airport,"Tokyo,Honshu",JP
2026-09-15T02:02:17.774Z,ITM,Osaka International Airport,"Osaka,Honshu",JP
2026-09-15T02:02:17.774Z,KIX,Kansai International Airport,"Osaka,Honshu",JP
2026-09-15T02:02:17.774Z,HIJ,Hiroshima Airport,"Hiroshima,Honshu",JP
2026-09-15T02:02:17.774Z,SIN,Singapore Changi Airport,Singapore,SG
2026-09-15T02:02:17.774Z,KUL,Kuala Lumpur International Airport,Kuala Lumpur,MY
2026-09-15T02:02:17.774Z,HKG,Hong Kong International Airport,Hongkong,CN
2026-09-15T02:02:17.774Z,BKK,Suvarnabhumi Airport,Bangkok,TH
2026-09-15T02:02:17.774Z,MCO,Orlando International Airport,Orlando,US
