ID,modifiedAt,type_code,descr,price,currency_code
BV-0001,2026-08-03T12:46:39.661Z,BV,Hot Chocolate,2.3000,EUR
BV-0002,2026-08-03T12:46:39.661Z,BV,Alcohol free Champagne,7.5000,EUR
BV-0003,2026-08-03T12:46:39.661Z,BV,Coke,3.5000,EUR
BV-0004,2026-08-03T12:46:39.661Z,BV,Orange Lemonade,3.5000,EUR
BV-0005,2026-08-03T12:46:39.661Z,BV,Apple Juice,3.5000,EUR
BV-0006,2026-08-03T12:46:39.661Z,BV,Pear Juice,3.5000,EUR
BV-0007,2026-08-03T12:46:39.661Z,BV,Mango Juice,3.5000,EUR
BV-0008,2026-08-03T12:46:39.661Z,BV,Lemon Lemonade,3.5000,EUR
BV-0009,2026-08-03T12:46:39.661Z,BV,Tomato Juice,4.5000,EUR
ML-0001,2026-08-03T12:46:39.661Z,ML,Black Forest Cake,3.0000,EUR
ML-0002,2026-08-03T12:46:39.661Z,ML,Chocolate Cake,2.0000,EUR
ML-0003,2026-08-03T12:46:39.661Z,ML,Apple Pie,1.5000,EUR
ML-0004,2026-08-03T12:46:39.661Z,ML,Pear Pie,1.5000,EUR
ML-0005,2026-08-03T12:46:39.661Z,ML,Nice Salad,8.0000,EUR
ML-0006,2026-08-03T12:46:39.661Z,ML,Paris Salad,9.0000,EUR
ML-0007,2026-08-03T12:46:39.661Z,ML,Hamburg Salad with Eggs,12.0000,EUR
ML-0008,2026-08-03T12:46:39.661Z,ML,Quail with French Salad and Black Forest Cake,25.0000,EUR
ML-0009,2026-08-03T12:46:39.661Z,ML,Duck on Lettuce,13.0000,EUR
ML-0010,2026-08-03T12:46:39.661Z,ML,Carpaccio,5.0000,EUR
ML-0011,2026-08-03T12:46:39.661Z,ML,Seasonal Salad,7.0000,EUR
ML-0012,2026-08-03T12:46:39.661Z,ML,Hamburg Salad with Fresh Shrimps,16.0000,EUR
ML-0013,2026-08-03T12:46:39.661Z,ML,Quail,17.0000,EUR
ML-0014,2026-08-03T12:46:39.661Z,ML,Wiener Schnitzel,14.0000,EUR
ML-0015,2026-08-03T12:46:39.661Z,ML,Pork Schnitzel,13.0000,EUR
ML-0016,2026-08-03T12:46:39.661Z,ML,Schnitzel with Pepper Sauce,14.0000,EUR
ML-0017,2026-08-03T12:46:39.661Z,ML,Chicken and French Fries,11.0000,EUR
ML-0018,2026-08-03T12:46:39.661Z,ML,Turkey Steak,12.0000,EUR
ML-0019,2026-08-03T12:46:39.661Z,ML,Bavarian Duck,15.0000,EUR
ML-0020,2026-08-03T12:46:39.661Z,ML,Knuckle of Pork,14.0000,EUR
ML-0021,2026-08-03T12:46:39.661Z,ML,Fillet of Beef,22.0000,EUR
ML-0022,2026-08-03T12:46:39.661Z,ML,Trout Au Bleu,21.0000,EUR
ML-0023,2026-08-03T12:46:39.661Z,ML,Trout Meuniere,20.0000,EUR
ML-0024,2026-08-03T12:46:39.661Z,ML,Monkfish,17.0000,EUR
ML-0025,2026-08-03T12:46:39.661Z,ML,Sole,12.0000,EUR
ML-0026,2026-08-03T12:46:39.661Z,ML,Mini Fried Sole,6.0000,EUR
ML-0027,2026-08-03T12:46:39.661Z,ML,Salmon in a Bearnaise Sauce,14.0000,EUR
ML-0028,2026-08-03T12:46:39.661Z,ML,Salmon Lasagne,15.0000,EUR
ML-0029,2026-08-03T12:46:39.661Z,ML,Chocolate Ice Cream,3.0000,EUR
ML-0030,2026-08-03T12:46:39.661Z,ML,Vanilla Ice Cream,2.5000,EUR
ML-0031,2026-08-03T12:46:39.661Z,ML,Vanilla Ice Cream with Hot Cherries,4.5000,EUR
ML-0032,2026-08-03T12:46:39.661Z,ML,Vanilla Ice Cream with Hot Raspberries,4.5000,EUR
ML-0033,2026-08-03T12:46:39.661Z,ML,Apple Strudel,4.0000,EUR
ML-0034,2026-08-03T12:46:39.661Z,ML,Raspberry Sorbet,4.0000,EUR
ML-0035,2026-08-03T12:46:39.661Z,ML,Strawberry Sorbet,4.0000,EUR
ML-0036,2026-08-03T12:46:39.661Z,ML,Lemon Sorbet,4.0000,EUR
LU-0001,2026-08-03T12:46:39.661Z,LU,Extra baggage 5 kgs,40.0000,EUR
LU-0002,2026-08-03T12:46:39.661Z,LU,Luggage transfer from airport to hotel,15.0000,EUR
LU-0003,2026-08-03T12:46:39.661Z,LU,Luggage pickup from home and return,75.0000,EUR
LU-0004,2026-08-03T12:46:39.661Z,LU,Bulky goods like sports equipment,80.0000,EUR
