ID,modifiedAt,type_code,descr,price,currency_code
BV-0001,2026-03-25T12:52:11.754Z,BV,Hot Chocolate,2.3,EUR
BV-0002,2026-03-25T12:52:11.754Z,BV,Alcohol free Champagne,7.5,EUR
BV-0003,2026-03-25T12:52:11.754Z,BV,Coke,3.5,EUR
BV-0004,2026-03-25T12:52:11.754Z,BV,Orange Lemonade,3.5,EUR
BV-0005,2026-03-25T12:52:11.754Z,BV,Apple Juice,3.5,EUR
BV-0006,2026-03-25T12:52:11.754Z,BV,Pear Juice,3.5,EUR
BV-0007,2026-03-25T12:52:11.754Z,BV,Mango Juice,3.5,EUR
BV-0008,2026-03-25T12:52:11.754Z,BV,Lemon Lemonade,3.5,EUR
BV-0009,2026-03-25T12:52:11.754Z,BV,Tomato Juice,4.5,EUR
ML-0001,2026-03-25T12:52:11.754Z,ML,Black Forest Cake,3,EUR
ML-0002,2026-03-25T12:52:11.754Z,ML,Chocolate Cake,2,EUR
ML-0003,2026-03-25T12:52:11.754Z,ML,Apple Pie,1.5,EUR
ML-0004,2026-03-25T12:52:11.754Z,ML,Pear Pie,1.5,EUR
ML-0005,2026-03-25T12:52:11.754Z,ML,Nice Salad,8,EUR
ML-0006,2026-03-25T12:52:11.754Z,ML,Paris Salad,9,EUR
ML-0007,2026-03-25T12:52:11.754Z,ML,Hamburg Salad with Eggs,12,EUR
ML-0008,2026-03-25T12:52:11.754Z,ML,Quail with French Salad and Black Forest Cake,25,EUR
ML-0009,2026-03-25T12:52:11.754Z,ML,Duck on Lettuce,13,EUR
ML-0010,2026-03-25T12:52:11.754Z,ML,Carpaccio,5,EUR
ML-0011,2026-03-25T12:52:11.754Z,ML,Seasonal Salad,7,EUR
ML-0012,2026-03-25T12:52:11.754Z,ML,Hamburg Salad with Fresh Shrimps,16,EUR
ML-0013,2026-03-25T12:52:11.754Z,ML,Quail,17,EUR
ML-0014,2026-03-25T12:52:11.754Z,ML,Wiener Schnitzel,14,EUR
ML-0015,2026-03-25T12:52:11.754Z,ML,Pork Schnitzel,13,EUR
ML-0016,2026-03-25T12:52:11.754Z,ML,Schnitzel with Pepper Sauce,14,EUR
ML-0017,2026-03-25T12:52:11.754Z,ML,Chicken and French Fries,11,EUR
ML-0018,2026-03-25T12:52:11.754Z,ML,Turkey Steak,12,EUR
ML-0019,2026-03-25T12:52:11.754Z,ML,Bavarian Duck,15,EUR
ML-0020,2026-03-25T12:52:11.754Z,ML,Knuckle of Pork,14,EUR
ML-0021,2026-03-25T12:52:11.754Z,ML,Fillet of Beef,22,EUR
ML-0022,2026-03-25T12:52:11.754Z,ML,Trout Au Bleu,21,EUR
ML-0023,2026-03-25T12:52:11.754Z,ML,Trout Meuniere,20,EUR
ML-0024,2026-03-25T12:52:11.754Z,ML,Monkfish,17,EUR
ML-0025,2026-03-25T12:52:11.754Z,ML,Sole,12,EUR
ML-0026,2026-03-25T12:52:11.754Z,ML,Mini Fried Sole,6,EUR
ML-0027,2026-03-25T12:52:11.754Z,ML,Salmon in a Bearnaise Sauce,14,EUR
ML-0028,2026-03-25T12:52:11.754Z,ML,Salmon Lasagne,15,EUR
ML-0029,2026-03-25T12:52:11.754Z,ML,Chocolate Ice Cream,3,EUR
ML-0030,2026-03-25T12:52:11.754Z,ML,Vanilla Ice Cream,2.5,EUR
ML-0031,2026-03-25T12:52:11.754Z,ML,Vanilla Ice Cream with Hot Cherries,4.5,EUR
ML-0032,2026-03-25T12:52:11.754Z,ML,Vanilla Ice Cream with Hot Raspberries,4.5,EUR
ML-0033,2026-03-25T12:52:11.754Z,ML,Apple Strudel,4,EUR
ML-0034,2026-03-25T12:52:11.754Z,ML,Raspberry Sorbet,4,EUR
ML-0035,2026-03-25T12:52:11.754Z,ML,Strawberry Sorbet,4,EUR
ML-0036,2026-03-25T12:52:11.754Z,ML,Lemon Sorbet,4,EUR
LU-0001,2026-03-25T12:52:11.754Z,LU,Extra baggage 5 kgs,40,EUR
LU-0002,2026-03-25T12:52:11.754Z,LU,Luggage transfer from airport to hotel,15,EUR
LU-0003,2026-03-25T12:52:11.754Z,LU,Luggage pickup from home and return,75,EUR
LU-0004,2026-03-25T12:52:11.754Z,LU,Bulky goods like sports equipment,80,EUR
