ID,airline_ID,departure_ID,destination_ID,departureTime,arrivalTime,distance
0001,SW,SFO,SIN,01:15:00,11:50:00,13523
0002,SW,SIN,SFO,06:30:00,09:15:00,13523
0011,SW,NRT,SIN,14:55:00,20:50:00,5363
0012,SW,SIN,NRT,09:53:00,17:54:00,5363
0058,SW,SFO,FRA,13:45:00,09:55:00,9608
0059,SW,FRA,SFO,13:55:00,16:30:00,9608
1537,SW,EWR,MIA,21:56:00,12:47:00,1752
0322,GA,MIA,EWR,20:17:00,23:19:00,1752
0017,GA,MIA,HAV,07:19:00,08:03:00,520
2678,GA,HAV,MIA,06:15:00,10:30:00,520
0015,GA,JFK,SFO,07:13:00,10:04:00,4156
0018,GA,SFO,JFK,06:40:00,15:06:00,4156
0400,EA,FRA,JFK,10:10:00,11:34:00,6162
0401,EA,JFK,FRA,18:30:00,07:45:00,6162
0402,EA,FRA,EWR,13:30:00,15:35:00,6217
0403,EA,EWR,FRA,18:09:00,07:30:00,6217
0407,OC,NRT,FRA,13:23:00,15:56:00,9379
0408,OC,FRA,NRT,20:25:00,15:40:00,9379
0788,FA,VCE,NRT,13:25:00,10:13:00,9595
0789,FA,NRT,VCE,14:26:00,21:31:00,9595
